gene,logFC,logCPM,PValue,FDR
TSPAN6,-0.550847021,5.7176328378,2.90043249072339E-10,6.75316411297514E-10
TNMD,-4.0042912285,1.1465607461,2.24783741886842E-126,1.49925785190669E-124
DPM1,0.5359417471,5.301309361,1.47613550330758E-18,5.48244279282905E-18
SCYL3,0.4635545909,5.0086659478,6.23202680363648E-15,1.91071379728389E-14
C1orf112,1.4011693736,3.7465671342,5.0992110667092E-64,9.9656719666586E-63
FGR,-0.4069783048,3.2890988779,1.89282169482412E-05,3.17823577210957E-05
CFH,-1.377557702,5.8583469082,2.65802522742167E-54,4.01976338850076E-53
FUCA2,0.4461861848,6.0119727813,1.68118396578796E-10,3.97192514667362E-10
GCLC,-0.3110760024,5.5127709916,7.56357531717941E-06,1.30869281381957E-05
NFYA,0.6822542905,5.8676120955,1.01394026159581E-22,4.62439891486556E-22
STPG1,0.0291730194,3.5326275646,0.5782099141,0.6118139282
NIPAL3,-0.183792373,5.6492938785,0.012595423,0.0166083136
LAS1L,0.560605295,5.8345945859,1.24415592157049E-27,7.1343169934416E-27
ENPP4,-0.1072246863,4.9664751814,0.2930150039,0.3268082212
SEMA3F,1.2122659357,6.7083322688,1.32923800463198E-38,1.19719624664034E-37
CFTR,-0.6206566346,0.2838901192,0.0029304649,0.004107099
ANKIB1,0.2839179741,6.3101207129,9.93478753563794E-07,1.83238036718595E-06
CYP51A1,0.7339631262,2.3458611709,3.60220521878735E-15,1.1185708404164E-14
KRIT1,-0.0495489998,5.2035512344,0.2843702433,0.317714723
RAD52,-0.1332713859,3.1508315849,0.0155941869,0.0203587648
MYH16,1.1246147151,-1.389818488,2.33176636089076E-13,6.55192315834184E-13
BAD,0.6359177324,5.0415405423,1.34876219655824E-13,3.84232328552522E-13
LAP3,0.3696960614,7.0029597788,2.85262186998591E-08,5.83463481635304E-08
CD99,0.067617876,7.5232437121,0.4214186648,0.4575017427
CD99,0.067617876,7.5232437121,0.4214186648,0.4575017427
HS3ST1,-0.3445817069,2.4282206279,5.46147832335724E-05,8.86229246015037E-05
