"gene","nodescore"
"TSPAN6",0.825724602756184
"TNMD",1
"DPM1",1
"SCYL3",0.956899621324269
"C1orf112",1
"FGR",0.646103241735917
"CFH",1
"FUCA2",0.833108963363343
"GCLC",0.663986207549825
"NFYA",1
"STPG1",0.272461715612506
"NIPAL3",0.483256773520908
"LAS1L",1
"ENPP4",0.336667785524696
"SEMA3F",1
"CFTR",0.527998403037888
"ANKIB1",0.70101867060608
"CYP51A1",0.963051661733232
"KRIT1",0.338858088521177
"RAD52",0.476004411565177
"MYH16",0.915643291584996
"BAD",0.922038705601714
"LAP3",0.759265609949634
"HS3ST1",0.624375456728221
"AOC1",1
"WNT16",0.534107075829924
"HECW1",0.499238251270694
"MAD1L1",0.992761227136045
"LASP1",0.988493049212285
"SNX11",0.561090757985716
"TMEM176A",0.432987093668786
"M6PR",0.577916187967978
"KLHL13",1
"CYP26B1",1
"ICA1",1
"DBNDD1",1
"ALS2",0.274900227839941
"CASP10",1
"CFLAR",1
"TFPI",1
"NDUFAF7",0.49318420509088
"RBM5",0.886299873976569
"MTMR7",0.608079870419
"SLC7A2",0.81085655676737
"ARF5",1
"SARM1",0.457282273319913
"POLDIP2",1
"PLXND1",0.272794112713286
"AK2",0.802351245971045
"CD38",0.52467320452574
"FKBP4",1
"KDM1A",1
"RBM6",0.67588612632163
"CAMKK1",0.459465838905531
"RECQL",0.201934470544169
"VPS50",0.365868967723628
"HSPB6",1
"ARHGAP33",1
"NDUFAB1",1
"PDK4",1
"SLC22A16",0.411240517855754
"ZMYND10",1
"ABCB5",1
"ARX",0.798130104058349
"SLC25A13",0.884318190942944
"ST7",0.474964643189366
"CDC27",0.359461194757361
"SLC4A1",1
"CALCR",0.810813121041836
"HCCS",0.958149910341713
"DVL2",0.230878635657805
"PRSS22",1
"UPF1",1
"SKAP2",1
"SLC25A5",1
"MCUB",1
"HOXA11",0.832375567539006
"POLR2J",1
"DHX33",0.31819452766339
"MEOX1",1
"THSD7A",1
"LIG3",1
"RPAP3",1
"ACSM3",1
"REXO5",1
"CIAPIN1",0.962714794701935
"SPPL2B",0.988493049212285
"FAM214B",0.59730359395836
"COPZ2",1
"PRKAR2B",1
"MSL3",0.493182551442361
"CREBBP",0.167845368237469
"TSPOAP1",0.380675947303846
"MPO",0.893255139551804
"PON1",0.563193980899793
"GCFC2",0.575199028252931
"WDR54",1
"CROT",0.565185343684758
"ABCB4",0.762528067070519
"KMT2E",0.731260628894902
"RHBDD2",1
"SOX8",0.434457209980506
"IBTK",0.487664872072246
"ZNF195",0.436827542234832
"MYCBP2",1
"FBXL3",1
"ITGAL",1
"PDK2",1
"ITGA3",0.478537682801621
"ZFX",0.225638131573342
"LAMP2",0.730022023950179
"ITGA2B",0.70208810740734
"ASB4",0.903309725764944
"GDE1",0.952407655912879
"REX1BD",0.908561934867616
"CRLF1",0.637056617599895
"AC003665.1",0.382670437825758
"TMEM98",0.539487311448221
"YBX2",0.682754436440537
"KRT33A",0.577994889188672
"MAP3K14",0.683661346234507
"ABCC8",0.617906324336819
"TMEM132A",1
"AP2B1",0.890279611357331
"TAC1",0.860413885493828
